b'id',b'key',b'value',b'type'
b'496741',b'cid_58:tabcd_1:Class',b'Point',b'TMC'
b'496741',b'cid_58:tabcd_1:Direction',b'positive',b'TMC'
b'496741',b'cid_58:tabcd_1:LCLversion',b'8.00',b'TMC'
b'496741',b'cid_58:tabcd_1:LocationCode',b'12408',b'TMC'
b'496741',b'cid_58:tabcd_1:NextLocationCode',b'12409',b'TMC'
b'496741',b'cid_58:tabcd_1:PrevLocationCode',b'44624',b'TMC'
b'496741',b'highway',b'motorway_junction',b'TMC'
b'496741',b'name',b'Flensburg / Harrislee',b'TMC'
b'496741',b'ref',b'2',b'TMC'
b'496779',b'cid_58:tabcd_1:Class',b'Point',b'TMC'
b'496779',b'cid_58:tabcd_1:Direction',b'negative',b'TMC'
b'496779',b'cid_58:tabcd_1:LCLversion',b'9.00',b'TMC'
b'496779',b'cid_58:tabcd_1:LocationCode',b'44623',b'TMC'
b'496779',b'cid_58:tabcd_1:NextLocationCode',b'44624',b'TMC'
b'496779',b'cid_58:tabcd_1:PrevLocationCode',b'12407',b'TMC'
b'42978949',b'cid_58:tabcd_1:Class',b'Point',b'TMC'
b'42978949',b'cid_58:tabcd_1:Direction',b'negative',b'TMC'
b'42978949',b'cid_58:tabcd_1:LCLversion',b'8.00',b'TMC'
b'42978949',b'cid_58:tabcd_1:LocationCode',b'25864',b'TMC'
b'42978949',b'cid_58:tabcd_1:NextLocationCode',b'25865',b'TMC'
b'42978949',b'cid_58:tabcd_1:PrevLocationCode',b'25863',b'TMC'
b'79465850',b'bus',b'yes',b'regular'
b'79465850',b'name',"b'H\xc3\xbcllerup, Alte Dorfstra\xc3\x9fe'",b'regular'
b'79465850',b'public_transport',b'stop_position',b'regular'
b'119563828',b'highway',b'traffic_signals',b'regular'
b'224181029',b'highway',b'traffic_signals',b'regular'
b'224181029',b'traffic_signals',b'signal',b'regular'
b'238089423',b'cid_58:tabcd_1:Class',b'Point',b'TMC'
b'238089423',b'cid_58:tabcd_1:Direction',b'negative',b'TMC'
b'238089423',b'cid_58:tabcd_1:LCLversion',b'9.00',b'TMC'
